x,y,piso,rssi
7,7,3,-86
7,0,3,-96
0,-7,3,-90
0,0,3,-81
-7,0,3,-76
-14,0,3,-75
7,-7,3,-68
7,-14,3,-84
7,-21,3,-76
7,-28,3,-90
7,-35,3,-92
0,-35,3,-90
0,-28,3,-89
0,-28,2,-89
0,-35,2,-87
7,-35,2,-69
7,-28,2,-78
7,-21,2,-90
7,-14,2,-62
7,-7,2,-64
7,7,2,-96
0,0,2,-87
7,0,2,-72
-7,0,2,-67
-14,0,2,-78
-7,-7,2,-64
-7,-14,2,-74
0,-7,2,-80
7,7,1,-76
7,0,1,-90
-7,-7,1,-62
-7,-14,1,-74
-7,0,1,-85
-14,0,1,-90
0,0,1,-90
-21,-7,1,-63
-21,-14,1,-68
0,-7,1,-75
7,-7,1,-72
7,-14,1,-66
7,-21,1,-90
7,-28,1,-90
7,-35,1,-86
0,-28,1,-89
0,-35,1,-83
