x,y,piso,rssi
7,7,3,-66
7,0,3,-67
0,-7,3,-61
0,0,3,-85
-7,0,3,-69
-14,0,3,-77
7,-7,3,-90
7,-14,3,-78
7,-21,3,-85
7,-28,3,-90
7,-35,3,-90
0,-35,3,-90
0,-28,3,-90
0,-28,2,-90
0,-35,2,-90
7,-35,2,-71
7,-28,2,-76
7,-21,2,-78
7,-14,2,-61
7,-7,2,-80
7,7,2,-80
0,0,2,-90
7,0,2,-90
-7,0,2,-64
-14,0,2,-77
-7,-7,2,-68
-7,-14,2,-90
0,-7,2,-61
7,7,1,-73
7,0,1,-68
-7,-7,1,-54
-7,-14,1,-37
-7,0,1,-73
-14,0,1,-72
0,0,1,-69
-21,-7,1,-89
-21,-14,1,-86
0,-7,1,-66
7,-7,1,-72
7,-14,1,-78
7,-21,1,-40
7,-28,1,-68
7,-35,1,-72
0,-28,1,-88
0,-35,1,-72
